year,month,authorLocation,index,DETECTED CRIME,negative,neutral,positive,total,neg_ratio
2020,1,Inverclyde,304,50,1.0,0.0,0.0,1.0,1.0
2020,1,Midlothian,305,55,1.0,1.0,0.0,2.0,0.5
2020,1,Moray,306,37,0.0,0.0,0.0,0.0,0.0
2020,1,North Ayrshire,307,91,0.0,0.0,0.0,0.0,0.0
2020,1,North Lanarkshire,308,262,0.0,0.0,0.0,0.0,0.0
2020,1,Orkney,309,4,1.0,0.0,0.0,1.0,1.0
2020,1,Perth and Kinross,310,55,0.0,0.0,0.0,0.0,0.0
2020,1,Renfrewshire,311,99,2.0,0.0,0.0,2.0,1.0
2020,1,Scottish Borders,312,56,0.0,0.0,0.0,0.0,0.0
2020,1,Shetland,313,5,0.0,0.0,0.0,0.0,0.0
2020,1,South Ayrshire,314,68,0.0,0.0,0.0,0.0,0.0
2020,1,South Lanarkshire,315,212,3.0,1.0,0.0,4.0,0.75
2020,1,Stirling,316,38,0.0,0.0,0.0,0.0,0.0
2020,1,West Dunbartonshire,317,64,0.0,0.0,0.0,0.0,0.0
2020,1,West Lothian,318,71,2.0,1.0,0.0,3.0,0.6666666666666666
2020,1,Western Isles - Eilean Siar,319,5,0.0,0.0,0.0,0.0,0.0
2020,2,Aberdeen,320,111,0.0,1.0,0.0,1.0,0.0
2020,2,Aberdeenshire,321,62,0.0,0.0,0.0,0.0,0.0
2020,2,Angus,322,30,0.0,0.0,0.0,0.0,0.0
2020,2,Argyll and Bute,323,67,0.0,0.0,0.0,0.0,0.0
2020,2,Clackmannanshire,324,41,0.0,0.0,0.0,0.0,0.0
2020,2,Dumfries and Galloway,325,128,2.0,0.0,0.0,2.0,1.0
2020,2,Dundee,326,100,0.0,0.0,0.0,0.0,0.0
2020,2,East Ayrshire,327,65,0.0,0.0,0.0,0.0,0.0
2020,2,East Dunbartonshire,328,33,0.0,0.0,0.0,0.0,0.0
2020,2,East Lothian,329,32,0.0,0.0,0.0,0.0,0.0
2020,2,East Renfrewshire,330,18,0.0,0.0,0.0,0.0,0.0
2020,2,Edinburgh,331,240,1.0,2.0,0.0,3.0,0.3333333333333333
2020,2,Falkirk,332,99,1.0,0.0,0.0,1.0,1.0
2020,2,Fife,333,156,0.0,0.0,0.0,0.0,0.0
2020,2,Glasgow,334,477,8.0,8.0,4.0,20.0,0.4
2020,2,Highland,335,98,3.0,4.0,1.0,8.0,0.375
